frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
26,3.0,[1300.5654296875 997.2296752929688 2220.930908203125 1735.9351806640625],[1584.049072265625 1515.3109130859375 1898.080810546875 1618.3370361328125],0.7336182594299316,MI589FN,0.9920790567894259
26,1.0,[61.54601287841797 971.3391723632812 1319.0953369140625 1683.7279052734375],[292.1242980957031 1373.1162109375 582.2896728515625 1468.7215576171875],0.7324767708778381,MI399CT,0.953088620806131
27,1.0,[61.948585510253906 971.9011840820312 1318.5335693359375 1685.887451171875],[294.5137634277344 1372.811279296875 583.0048828125 1469.2236328125],0.736656904220581,MI399CT,0.9931009900909928
28,1.0,[61.93209457397461 973.3128051757812 1317.8201904296875 1688.4356689453125],[295.54437255859375 1372.305908203125 581.9239501953125 1469.408203125],0.7367942929267883,MI5399CI,0.3460659986042388
29,3.0,[1300.6346435546875 996.4107666015625 2220.879638671875 1735.4241943359375],[1588.2257080078125 1518.462646484375 1898.5601806640625 1624.687744140625],0.752590000629425,MI589FN,0.9938428868325003
29,1.0,[60.387874603271484 974.4967651367188 1318.123046875 1688.6802978515625],[295.2963562011719 1372.868896484375 583.020263671875 1468.80859375],0.735666811466217,MI399CT,0.9802116807739615
30,3.0,[1301.2120361328125 997.6138305664062 2221.053466796875 1734.703125],[1587.960693359375 1519.332275390625 1898.238525390625 1621.201171875],0.7450575828552246,MI589FN,0.9793203142702048
30,1.0,[60.336402893066406 976.6083374023438 1319.216796875 1689.6475830078125],[295.9309387207031 1373.771484375 582.9794311523438 1469.26318359375],0.7370772361755371,MI399CT,0.9917871169948966
31,1.0,[62.18549346923828 977.51513671875 1318.9295654296875 1690.7232666015625],[292.4068908691406 1374.3079833984375 585.7278442382812 1472.13134765625],0.7396610379219055,MI399CT,0.9594630257724621
31,3.0,[1300.08056640625 998.8594360351562 2222.326171875 1734.5364990234375],[1587.9656982421875 1519.48876953125 1895.3074951171875 1619.070068359375],0.7385582327842712,MI589FN,0.6672387487396116
32,1.0,[63.21359634399414 977.6152954101562 1318.9996337890625 1690.70068359375],[292.7424011230469 1375.415283203125 586.94970703125 1473.395263671875],0.7431313991546631,MI399CT,0.986545494753487
33,3.0,[1301.631103515625 1000.873291015625 2224.11767578125 1736.4854736328125],[1590.828369140625 1525.169677734375 1889.771484375 1623.598388671875],0.7592076063156128,MI589FN,0.9758626268241483
33,1.0,[63.85535430908203 977.102294921875 1320.019287109375 1691.27001953125],[293.6329345703125 1376.58642578125 585.6015625 1474.169189453125],0.745665967464447,MI399CI,0.7333099827445559
34,1.0,[64.04749298095703 976.9531860351562 1320.546630859375 1692.6021728515625],[293.9938049316406 1377.3482666015625 585.4330444335938 1472.70703125],0.7429406046867371,MI399CT,0.6250329780827905
35,1.0,[64.29572296142578 976.8663940429688 1321.2528076171875 1693.4000244140625],[293.0027160644531 1376.8839111328125 584.6292724609375 1472.9827880859375],0.743999183177948,MI399CT,0.9864658912804535
